id,created_at,source,original_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place
1.11792E+18,Mon Apr 15 22:20:46 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @JhaSanjay: Dear @ArvindKejriwal Ji: Let’s do a clean sweep of Delhi together. The defeat of the #BJP is crucial to Delhi’s independent…,en,0,648,grv_sharma_1,,BJP,"JhaSanjay, ArvindKejriwal",
1.11792E+18,Mon Apr 15 22:20:31 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @drshamamohd: India faces a shortage of 6 lakh doctors &amp; 20 lakh nurses.

5.7cr people are pushed into poverty every year due to health…",en,0,993,mkmuk40,,,drshamamohd,"Poole, England"
1.11792E+18,Mon Apr 15 22:19:23 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @JhaSanjay: Dear @ArvindKejriwal Ji: Let’s do a clean sweep of Delhi together. The defeat of the #BJP is crucial to Delhi’s independent…,en,0,648,sundeepkailwoo,,BJP,"JhaSanjay, ArvindKejriwal",
1.11792E+18,Mon Apr 15 22:18:06 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @JhaSanjay: Dear @ArvindKejriwal Ji: Let’s do a clean sweep of Delhi together. The defeat of the #BJP is crucial to Delhi’s independent…,en,0,648,mkmuk40,,BJP,"JhaSanjay, ArvindKejriwal","Poole, England"
1.11791E+18,Mon Apr 15 22:16:08 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @NH_India: Is #NarendraModi now part of the ‘Tukde Tukde Gang’? Now that Pakistani Prime Minister #ImranKhan has endorsed Narendra Modi…,en,0,47,khanhasan24,,"NarendraModi, ImranKhan",NH_India,"Mumbai, Maharashtra"
1.11791E+18,Mon Apr 15 22:15:37 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @drshamamohd: #ElectionCommission- Don't politicise armed forces 

BJP - Army is Modiji ki Sena 

EC - Be careful 

PM #Modi - Vote for…",en,0,471,vinay_2018,,"ElectionCommission, Modi",drshamamohd,
1.11791E+18,Mon Apr 15 22:14:55 +0000 2019,"<a href=""https://www.tweetsuite.com/"" rel=""nofollow"">Tweet Suite</a>",#solo2 #ModiWarOnCorruption Women empowering site: How did #Modi/ #BJP win 2014 elections https://t.co/5AbRgw5Eww https://t.co/km8jDsA2cf,en,0,0,ModernWorldCen,FALSE,"solo2, ModiWarOnCorruption, Modi, BJP",,United Kingdom
1.11791E+18,Mon Apr 15 22:13:06 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @JhaSanjay: Dear @ArvindKejriwal Ji: Let’s do a clean sweep of Delhi together. The defeat of the #BJP is crucial to Delhi’s independent…,en,0,648,niranjan09,,BJP,"JhaSanjay, ArvindKejriwal","Kansas City, Missouri, USA."
1.11791E+18,Mon Apr 15 22:07:25 +0000 2019,"<a href=""http://www.gulf-times.com/"" rel=""nofollow"">GT_Backend</a>",#BJP and Congress workers clash at Matondkar’s rally  https://t.co/t7oL6D3kFj https://t.co/P0JhBjkIOV,en,2,0,GulfTimes_QATAR,FALSE,BJP,,Al Hilal - C Ring Road
1.11791E+18,Mon Apr 15 22:07:01 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @JhaSanjay: Dear @ArvindKejriwal Ji: Let’s do a clean sweep of Delhi together. The defeat of the #BJP is crucial to Delhi’s independent…,en,0,648,shandon17,,BJP,"JhaSanjay, ArvindKejriwal",New Delhi
